epoch,acc,cat_acc,dice_coef,f1_m,iou_coef,jacard_coef,loss,precision_m,recall_m,subset_accuracy,val_acc,val_cat_acc,val_dice_coef,val_f1_m,val_iou_coef,val_jacard_coef,val_loss,val_precision_m,val_recall_m,val_subset_accuracy
0,0.6717389225959778,0.6717389225959778,0.6019431948661804,0.6675860285758972,0.4689916968345642,0.43854957818984985,0.13055755198001862,0.7760122418403625,0.5912987589836121,0.9027527570724487,0.499841570854187,0.499841570854187,0.5195419192314148,0.5307337045669556,0.42522236704826355,0.3732639253139496,0.1410583257675171,0.5673652291297913,0.5023540258407593,0.8563786745071411
1,0.7287956476211548,0.7287956476211548,0.6803975105285645,0.7252790927886963,0.5543908476829529,0.522102415561676,0.12719091773033142,0.7908328771591187,0.6718204021453857,0.9159366488456726,0.5161917805671692,0.5161917805671692,0.5186516642570496,0.5223116278648376,0.4241914451122284,0.3726957142353058,0.14159302413463593,0.5331374406814575,0.5120631456375122,0.853581428527832
2,0.7569220066070557,0.7569220066070557,0.7179596424102783,0.7562761306762695,0.5965997576713562,0.5663721561431885,0.12544122338294983,0.8014903664588928,0.7170639634132385,0.9233028292655945,0.6904918551445007,0.6904918551445007,0.6826887726783752,0.6946417689323425,0.5731011033058167,0.5360041856765747,0.128618061542511,0.7299079298973083,0.6639321446418762,0.9093815684318542
3,0.7709051370620728,0.7709051370620728,0.7374134063720703,0.7711248993873596,0.6192094683647156,0.5903529524803162,0.12455122172832489,0.8086537718772888,0.7378013134002686,0.9272993206977844,0.7785270810127258,0.7785270810127258,0.7345103621482849,0.7770015597343445,0.6210228204727173,0.5929085612297058,0.12439052760601044,0.8244832754135132,0.7361311912536621,0.9238357543945312
4,0.7835507988929749,0.7835507988929749,0.7540220022201538,0.7842831015586853,0.6379020810127258,0.6108954548835754,0.12375733256340027,0.8147221803665161,0.7565202116966248,0.9308445453643799,0.6614255309104919,0.6614255309104919,0.6531755924224854,0.6634070873260498,0.5445045232772827,0.5046117901802063,0.13192909955978394,0.6841078996658325,0.6442892551422119,0.8939789533615112
5,0.7790627479553223,0.7790627479553223,0.7519346475601196,0.7797775268554688,0.6354647874832153,0.6084282398223877,0.12403056770563126,0.8087947964668274,0.7531490921974182,0.9294914603233337,0.7807320356369019,0.7807320356369019,0.7538712024688721,0.7822592854499817,0.6373768448829651,0.6141242980957031,0.12390036135911942,0.8120228052139282,0.7551431059837341,0.9291685223579407
6,0.792686939239502,0.792686939239502,0.7670999765396118,0.7935543656349182,0.6535542011260986,0.6278586387634277,0.12317707389593124,0.8190454840660095,0.7699223160743713,0.9332484006881714,0.8015320301055908,0.8015320301055908,0.7676516175270081,0.8011163473129272,0.6496472358703613,0.6307982802391052,0.1228083148598671,0.8307029008865356,0.7739859223365784,0.9327881932258606
7,0.8001314401626587,0.8001314401626587,0.7765207290649414,0.8009478449821472,0.6645695567131042,0.6398848295211792,0.12268292903900146,0.824259877204895,0.7791793942451477,0.9355146884918213,0.7573014497756958,0.7573014497756958,0.7252682447433472,0.7563353180885315,0.6058911085128784,0.5805274844169617,0.12528486549854279,0.7967643141746521,0.7208681106567383,0.9206668734550476
8,0.8040133714675903,0.8040133714675903,0.7819633483886719,0.804957926273346,0.6713084578514099,0.6470655202865601,0.12241175770759583,0.8268099427223206,0.7844454646110535,0.9368035793304443,0.7184303402900696,0.7184303402900696,0.707334041595459,0.7229143977165222,0.5942273736000061,0.5622865557670593,0.1270160675048828,0.7577028870582581,0.6922436356544495,0.9156030416488647
9,0.8070829510688782,0.8070829510688782,0.7861235737800598,0.8079681992530823,0.6763323545455933,0.6527711749076843,0.12222205847501755,0.8281248211860657,0.7889506220817566,0.9377091526985168,0.7823495864868164,0.7823495864868164,0.7537386417388916,0.7849273085594177,0.6398362517356873,0.615330696105957,0.12364446371793747,0.8187974095344543,0.7545596361160278,0.9297802448272705
